po number,vehicle number,departure time
7007403111,กท.79-0642,2022-03-02 19:44:34
7007404214,กท.79-5843,2022-03-02 19:53:38
7007404095,กท.79-3258,2022-03-02 20:01:47
7007404286,ชม.70-5122,2022-03-02 20:12:53
7007404391,กท.77-7979,2022-03-02 20:34:24
7007403077,กท.79-5579,2022-03-02 20:39:05
7007403100,กท.74-9067,2022-03-02 20:50:24
7007404475,ลพ.70-0785,2022-03-02 20:57:55
7007403063,กท.74-9070,2022-03-02 21:35:51
7007405706,สค.70-6119,2022-03-03 01:35:24
7007405707,สค.70-4333,2022-03-03 01:41:44
7007405712,ชม.70-5300,2022-03-03 01:54:02
7007405714,ชม.70-5301,2022-03-03 02:01:15
7007405711,ชม.70-4355,2022-03-03 02:13:17
7007405738,สค.70-6124,2022-03-03 02:34:54
7007405751,รย.71-2635,2022-03-03 02:42:09
7007403104,ฉช.82-3201,2022-03-03 03:42:02
7007403091,ฉช.82-4812,2022-03-03 03:50:48
7007403106,ฉช.82-0002,2022-03-03 04:09:36
7007403136,ฉช.82-7170,2022-03-03 04:21:04
7007405783,ชม.70-5261,2022-03-03 04:43:39
7007403089,ฉช.82-8346,2022-03-03 04:44:02
7007405811,กท.79-7691,2022-03-03 05:25:17
7007405832,กท.79-8104,2022-03-03 07:39:15
7007403108,กท.76-4825,2022-03-03 08:05:20
7007405834,สค.70-6125,2022-03-03 08:07:14
7007403066,กท.79-0643,2022-03-03 08:17:30
7007403052,กท.78-1149,2022-03-03 08:21:08
7007403102,กท.79-1830,2022-03-03 08:23:53
7007405843,ชม.70-6507,2022-03-03 08:23:58
7007403083,กท.79-5584,2022-03-03 08:33:14
7007403513,กท.79-5578,2022-03-03 08:39:11
7007403098,กท.78-6744,2022-03-03 08:56:48
7007405872,สค.70-4335,2022-03-03 09:01:44
7007403092,กท.77-9738,2022-03-03 09:05:26
7007405859,ลพ.70-1223,2022-03-03 09:16:15
7007403078,กท.77-8133,2022-03-03 09:32:44
7007403048,กท.79-2716,2022-03-03 09:51:40
7007403034,กท.78-6739,2022-03-03 09:57:11
7007405903,ชม.70-5299,2022-03-03 10:00:58
7007403036,กท.79-0641,2022-03-03 10:10:24
7007403512,กท.79-0144,2022-03-03 10:22:36
7007403049,กท.60-4208,2022-03-03 10:29:29
7007406006,กท.61-4383,2022-03-03 10:47:10
7007404797,กท.79-0841,2022-03-03 10:50:16
7007403109,ฉช.82-7443,2022-03-03 11:09:44
7007403041,กท.79-2717,2022-03-03 11:11:02
7007406352,กท.79-5840,2022-03-03 11:17:09
7007403038,ฉช.82-7170,2022-03-03 11:24:07
7007403084,กท.75-1033,2022-03-03 11:34:38
7007403068,กท.78-7993,2022-03-03 11:44:28
7007406632,กท.79-8105,2022-03-03 11:53:53
7007406402,กท.79-3259,2022-03-03 12:02:50
7007406592,ชบ.84-7139,2022-03-03 12:08:20
7007406568,ชม.70-5302,2022-03-03 12:21:42
7007406629,กท.79-2898,2022-03-03 12:22:30
7007403046,กท.77-8134,2022-03-03 12:37:52
7007403058,กท.60-4205,2022-03-03 12:40:14
7007406750,นม.70-6589,2022-03-03 12:43:31
7007406718,ชบ.85-3878,2022-03-03 12:51:12
7007406612,ชบ.84-7237,2022-03-03 13:02:51
7007406838,กท.78-4646,2022-03-03 13:11:25
7007406639,กท.60-4207,2022-03-03 13:22:31
7007406966,ชม.70-6510,2022-03-03 13:32:22
7007406786,จบ.80-8222,2022-03-03 13:34:16
7007407002,ชม.70-5194,2022-03-03 13:40:05
7007403087,กท.79-0643,2022-03-03 13:53:20
7007407115,นม.70-6719,2022-03-03 13:54:48
7007406790,ชบ.82-3097,2022-03-03 14:04:01
7007407083,กท.79-3156,2022-03-03 14:07:35
7007407274,รย.82-0448,2022-03-03 14:17:39
7007403094,กท.77-9738,2022-03-03 14:19:10
